Domain,Area,Element,Item,Year,Unit,Value
"Crops","China, mainland","Yield","Maize","1962","hg/ha","12695"
"Crops","China, mainland","Yield","Maize","1963","hg/ha","13398"
"Crops","China, mainland","Yield","Maize","1964","hg/ha","14784"
"Crops","China, mainland","Yield","Maize","1965","hg/ha","15107"
"Crops","China, mainland","Yield","Maize","1966","hg/ha","17135"
"Crops","China, mainland","Yield","Maize","1967","hg/ha","19344"
"Crops","China, mainland","Yield","Maize","1968","hg/ha","18169"
"Crops","China, mainland","Yield","Maize","1969","hg/ha","17763"
"Crops","China, mainland","Yield","Maize","1970","hg/ha","20885"
"Crops","China, mainland","Yield","Maize","1971","hg/ha","21456"
"Crops","China, mainland","Yield","Maize","1972","hg/ha","19238"
"Crops","China, mainland","Yield","Maize","1973","hg/ha","23336"
"Crops","China, mainland","Yield","Maize","1974","hg/ha","24677"
"Crops","China, mainland","Yield","Maize","1975","hg/ha","25416"
"Crops","China, mainland","Yield","Maize","1976","hg/ha","25066"
"Crops","China, mainland","Yield","Maize","1977","hg/ha","25155"
"Crops","China, mainland","Yield","Maize","1978","hg/ha","28030"
"Crops","China, mainland","Yield","Maize","1979","hg/ha","29852"
"Crops","China, mainland","Yield","Maize","1980","hg/ha","30789"
"Crops","China, mainland","Yield","Maize","1981","hg/ha","30513"
"Crops","China, mainland","Yield","Maize","1982","hg/ha","32691"
"Crops","China, mainland","Yield","Maize","1983","hg/ha","36235"
"Crops","China, mainland","Yield","Maize","1984","hg/ha","39602"
"Crops","China, mainland","Yield","Maize","1985","hg/ha","36072"
"Crops","China, mainland","Yield","Maize","1986","hg/ha","37051"
"Crops","China, mainland","Yield","Maize","1987","hg/ha","39205"
"Crops","China, mainland","Yield","Maize","1988","hg/ha","39281"
"Crops","China, mainland","Yield","Maize","1989","hg/ha","38781"
"Crops","China, mainland","Yield","Maize","1990","hg/ha","45240"
"Crops","China, mainland","Yield","Maize","1991","hg/ha","45783"
"Crops","China, mainland","Yield","Maize","1992","hg/ha","45327"
"Crops","China, mainland","Yield","Maize","1993","hg/ha","49630"
"Crops","China, mainland","Yield","Maize","1994","hg/ha","46935"
"Crops","China, mainland","Yield","Maize","1995","hg/ha","49169"
"Crops","China, mainland","Yield","Maize","1996","hg/ha","52033"
"Crops","China, mainland","Yield","Maize","1997","hg/ha","43874"
"Crops","China, mainland","Yield","Maize","1998","hg/ha","52678"
"Crops","China, mainland","Yield","Maize","1999","hg/ha","49447"
"Crops","China, mainland","Yield","Maize","2000","hg/ha","45975"
"Crops","China, mainland","Yield","Maize","2001","hg/ha","46985"
"Crops","China, mainland","Yield","Maize","2002","hg/ha","48714"
"Crops","China, mainland","Yield","Maize","2003","hg/ha","48126"
"Crops","China, mainland","Yield","Maize","2004","hg/ha","51203"
"Crops","China, mainland","Yield","Maize","2005","hg/ha","52873"
"Crops","China, mainland","Yield","Maize","2006","hg/ha","53263"
"Crops","China, mainland","Yield","Maize","2007","hg/ha","51667"
"Crops","China, mainland","Yield","Maize","2008","hg/ha","55557"
"Crops","China, mainland","Yield","Maize","2009","hg/ha","52585"
"Crops","China, mainland","Yield","Maize","2010","hg/ha","54592"
"Crops","China, mainland","Yield","Maize","2011","hg/ha","57475"
"Crops","China, mainland","Yield","Maize","2012","hg/ha","58697"
"Crops","China, mainland","Yield","Maize","2013","hg/ha","60159"
"Crops","China, mainland","Yield","Maize","2014","hg/ha","58089"
"Crops","China, mainland","Yield","Maize","2015","hg/ha","58929"
"Crops","China, mainland","Yield","Maize","2016","hg/ha","59671"
"Crops","China, mainland","Yield","Maize","2017","hg/ha","61103"
"Crops","China, mainland","Yield","Maize","2018","hg/ha","61043"
"Crops","China, mainland","Yield","Maize","2019","hg/ha","63173"
"Crops","China, mainland","Yield","Potatoes","1961","hg/ha","99231"
"Crops","China, mainland","Yield","Potatoes","1962","hg/ha","92000"
"Crops","China, mainland","Yield","Potatoes","1963","hg/ha","80000"
"Crops","China, mainland","Yield","Potatoes","1964","hg/ha","87500"
"Crops","China, mainland","Yield","Potatoes","1965","hg/ha","94118"
"Crops","China, mainland","Yield","Potatoes","1966","hg/ha","90000"
"Crops","China, mainland","Yield","Potatoes","1967","hg/ha","89500"
"Crops","China, mainland","Yield","Potatoes","1968","hg/ha","89000"
"Crops","China, mainland","Yield","Potatoes","1969","hg/ha","101579"
"Crops","China, mainland","Yield","Potatoes","1970","hg/ha","107500"
"Crops","China, mainland","Yield","Potatoes","1971","hg/ha","104762"
"Crops","China, mainland","Yield","Potatoes","1972","hg/ha","102174"
"Crops","China, mainland","Yield","Potatoes","1973","hg/ha","135000"
"Crops","China, mainland","Yield","Potatoes","1974","hg/ha","130000"
"Crops","China, mainland","Yield","Potatoes","1975","hg/ha","115714"
"Crops","China, mainland","Yield","Potatoes","1976","hg/ha","113000"
"Crops","China, mainland","Yield","Potatoes","1977","hg/ha","132375"
"Crops","China, mainland","Yield","Potatoes","1978","hg/ha","127482"
"Crops","China, mainland","Yield","Potatoes","1979","hg/ha","111365"
"Crops","China, mainland","Yield","Potatoes","1980","hg/ha","112435"
"Crops","China, mainland","Yield","Potatoes","1981","hg/ha","102792"
"Crops","China, mainland","Yield","Potatoes","1982","hg/ha","108898"
"Crops","China, mainland","Yield","Potatoes","1983","hg/ha","113754"
"Crops","China, mainland","Yield","Potatoes","1984","hg/ha","116542"
"Crops","China, mainland","Yield","Potatoes","1985","hg/ha","107950"
"Crops","China, mainland","Yield","Potatoes","1986","hg/ha","100000"
"Crops","China, mainland","Yield","Potatoes","1987","hg/ha","103056"
"Crops","China, mainland","Yield","Potatoes","1988","hg/ha","115107"
"Crops","China, mainland","Yield","Potatoes","1989","hg/ha","110025"
"Crops","China, mainland","Yield","Potatoes","1990","hg/ha","113166"
"Crops","China, mainland","Yield","Potatoes","1991","hg/ha","105600"
"Crops","China, mainland","Yield","Potatoes","1992","hg/ha","126146"
"Crops","China, mainland","Yield","Potatoes","1993","hg/ha","148697"
"Crops","China, mainland","Yield","Potatoes","1994","hg/ha","136546"
"Crops","China, mainland","Yield","Potatoes","1995","hg/ha","133813"
"Crops","China, mainland","Yield","Potatoes","1996","hg/ha","141960"
"Crops","China, mainland","Yield","Potatoes","1997","hg/ha","149603"
"Crops","China, mainland","Yield","Potatoes","1998","hg/ha","158896"
"Crops","China, mainland","Yield","Potatoes","1999","hg/ha","126999"
"Crops","China, mainland","Yield","Potatoes","2000","hg/ha","140319"
"Crops","China, mainland","Yield","Potatoes","2001","hg/ha","136826"
"Crops","China, mainland","Yield","Potatoes","2002","hg/ha","150377"
"Crops","China, mainland","Yield","Potatoes","2003","hg/ha","150576"
"Crops","China, mainland","Yield","Potatoes","2004","hg/ha","157085"
"Crops","China, mainland","Yield","Potatoes","2005","hg/ha","145229"
"Crops","China, mainland","Yield","Potatoes","2006","hg/ha","153126"
"Crops","China, mainland","Yield","Potatoes","2007","hg/ha","146243"
"Crops","China, mainland","Yield","Potatoes","2008","hg/ha","151775"
"Crops","China, mainland","Yield","Potatoes","2009","hg/ha","144131"
"Crops","China, mainland","Yield","Potatoes","2010","hg/ha","156643"
"Crops","China, mainland","Yield","Potatoes","2011","hg/ha","162778"
"Crops","China, mainland","Yield","Potatoes","2012","hg/ha","167685"
"Crops","China, mainland","Yield","Potatoes","2013","hg/ha","170879"
"Crops","China, mainland","Yield","Potatoes","2014","hg/ha","171382"
"Crops","China, mainland","Yield","Potatoes","2015","hg/ha","173080"
"Crops","China, mainland","Yield","Potatoes","2016","hg/ha","176846"
"Crops","China, mainland","Yield","Potatoes","2017","hg/ha","182064"
"Crops","China, mainland","Yield","Potatoes","2018","hg/ha","189697"
"Crops","China, mainland","Yield","Potatoes","2019","hg/ha","186922"
"Crops","China, mainland","Yield","Rice, paddy","1961","hg/ha","20434"
"Crops","China, mainland","Yield","Rice, paddy","1962","hg/ha","23408"
"Crops","China, mainland","Yield","Rice, paddy","1963","hg/ha","26642"
"Crops","China, mainland","Yield","Rice, paddy","1964","hg/ha","28062"
"Crops","China, mainland","Yield","Rice, paddy","1965","hg/ha","29441"
"Crops","China, mainland","Yield","Rice, paddy","1966","hg/ha","31277"
"Crops","China, mainland","Yield","Rice, paddy","1967","hg/ha","30811"
"Crops","China, mainland","Yield","Rice, paddy","1968","hg/ha","31653"
"Crops","China, mainland","Yield","Rice, paddy","1969","hg/ha","31269"
"Crops","China, mainland","Yield","Rice, paddy","1970","hg/ha","34025"
"Crops","China, mainland","Yield","Rice, paddy","1971","hg/ha","33026"
"Crops","China, mainland","Yield","Rice, paddy","1972","hg/ha","32288"
"Crops","China, mainland","Yield","Rice, paddy","1973","hg/ha","34727"
"Crops","China, mainland","Yield","Rice, paddy","1974","hg/ha","34926"
"Crops","China, mainland","Yield","Rice, paddy","1975","hg/ha","35178"
"Crops","China, mainland","Yield","Rice, paddy","1976","hg/ha","34771"
"Crops","China, mainland","Yield","Rice, paddy","1977","hg/ha","36226"
"Crops","China, mainland","Yield","Rice, paddy","1978","hg/ha","39781"
"Crops","China, mainland","Yield","Rice, paddy","1979","hg/ha","42481"
"Crops","China, mainland","Yield","Rice, paddy","1980","hg/ha","41338"
"Crops","China, mainland","Yield","Rice, paddy","1981","hg/ha","43280"
"Crops","China, mainland","Yield","Rice, paddy","1982","hg/ha","48913"
"Crops","China, mainland","Yield","Rice, paddy","1983","hg/ha","50961"
"Crops","China, mainland","Yield","Rice, paddy","1984","hg/ha","53726"
"Crops","China, mainland","Yield","Rice, paddy","1985","hg/ha","52563"
"Crops","China, mainland","Yield","Rice, paddy","1986","hg/ha","53376"
"Crops","China, mainland","Yield","Rice, paddy","1987","hg/ha","54130"
"Crops","China, mainland","Yield","Rice, paddy","1988","hg/ha","52868"
"Crops","China, mainland","Yield","Rice, paddy","1989","hg/ha","55085"
"Crops","China, mainland","Yield","Rice, paddy","1990","hg/ha","57261"
"Crops","China, mainland","Yield","Rice, paddy","1991","hg/ha","56402"
"Crops","China, mainland","Yield","Rice, paddy","1992","hg/ha","58031"
"Crops","China, mainland","Yield","Rice, paddy","1993","hg/ha","58479"
"Crops","China, mainland","Yield","Rice, paddy","1994","hg/ha","58311"
"Crops","China, mainland","Yield","Rice, paddy","1995","hg/ha","60248"
"Crops","China, mainland","Yield","Rice, paddy","1996","hg/ha","62122"
"Crops","China, mainland","Yield","Rice, paddy","1997","hg/ha","63192"
"Crops","China, mainland","Yield","Rice, paddy","1998","hg/ha","63662"
"Crops","China, mainland","Yield","Rice, paddy","1999","hg/ha","63447"
"Crops","China, mainland","Yield","Rice, paddy","2000","hg/ha","62716"
"Crops","China, mainland","Yield","Rice, paddy","2001","hg/ha","61634"
"Crops","China, mainland","Yield","Rice, paddy","2002","hg/ha","61889"
"Crops","China, mainland","Yield","Rice, paddy","2003","hg/ha","60607"
"Crops","China, mainland","Yield","Rice, paddy","2004","hg/ha","63107"
"Crops","China, mainland","Yield","Rice, paddy","2005","hg/ha","62601"
"Crops","China, mainland","Yield","Rice, paddy","2006","hg/ha","62796"
"Crops","China, mainland","Yield","Rice, paddy","2007","hg/ha","64329"
"Crops","China, mainland","Yield","Rice, paddy","2008","hg/ha","65625"
"Crops","China, mainland","Yield","Rice, paddy","2009","hg/ha","65853"
"Crops","China, mainland","Yield","Rice, paddy","2010","hg/ha","65530"
"Crops","China, mainland","Yield","Rice, paddy","2011","hg/ha","66873"
"Crops","China, mainland","Yield","Rice, paddy","2012","hg/ha","67769"
"Crops","China, mainland","Yield","Rice, paddy","2013","hg/ha","67173"
"Crops","China, mainland","Yield","Rice, paddy","2014","hg/ha","68132"
"Crops","China, mainland","Yield","Rice, paddy","2015","hg/ha","68913"
"Crops","China, mainland","Yield","Rice, paddy","2016","hg/ha","68657"
"Crops","China, mainland","Yield","Rice, paddy","2017","hg/ha","69169"
"Crops","China, mainland","Yield","Rice, paddy","2018","hg/ha","70266"
"Crops","China, mainland","Yield","Rice, paddy","2019","hg/ha","70601"
"Crops","China, mainland","Yield","Sorghum","1961","hg/ha","9265"
"Crops","China, mainland","Yield","Sorghum","1962","hg/ha","9091"
"Crops","China, mainland","Yield","Sorghum","1963","hg/ha","10769"
"Crops","China, mainland","Yield","Sorghum","1964","hg/ha","12222"
"Crops","China, mainland","Yield","Sorghum","1965","hg/ha","11545"
"Crops","China, mainland","Yield","Sorghum","1966","hg/ha","13846"
"Crops","China, mainland","Yield","Sorghum","1967","hg/ha","13846"
"Crops","China, mainland","Yield","Sorghum","1968","hg/ha","14167"
"Crops","China, mainland","Yield","Sorghum","1969","hg/ha","13793"
"Crops","China, mainland","Yield","Sorghum","1970","hg/ha","16858"
"Crops","China, mainland","Yield","Sorghum","1971","hg/ha","17308"
"Crops","China, mainland","Yield","Sorghum","1972","hg/ha","16000"
"Crops","China, mainland","Yield","Sorghum","1973","hg/ha","18000"
"Crops","China, mainland","Yield","Sorghum","1974","hg/ha","17708"
"Crops","China, mainland","Yield","Sorghum","1975","hg/ha","18889"
"Crops","China, mainland","Yield","Sorghum","1976","hg/ha","20092"
"Crops","China, mainland","Yield","Sorghum","1977","hg/ha","20505"
"Crops","China, mainland","Yield","Sorghum","1978","hg/ha","23279"
"Crops","China, mainland","Yield","Sorghum","1979","hg/ha","24117"
"Crops","China, mainland","Yield","Sorghum","1980","hg/ha","25158"
"Crops","China, mainland","Yield","Sorghum","1981","hg/ha","25479"
"Crops","China, mainland","Yield","Sorghum","1982","hg/ha","25099"
"Crops","China, mainland","Yield","Sorghum","1983","hg/ha","30865"
"Crops","China, mainland","Yield","Sorghum","1984","hg/ha","31484"
"Crops","China, mainland","Yield","Sorghum","1985","hg/ha","28823"
"Crops","China, mainland","Yield","Sorghum","1986","hg/ha","28699"
"Crops","China, mainland","Yield","Sorghum","1987","hg/ha","29120"
"Crops","China, mainland","Yield","Sorghum","1988","hg/ha","31357"
"Crops","China, mainland","Yield","Sorghum","1989","hg/ha","27615"
"Crops","China, mainland","Yield","Sorghum","1990","hg/ha","36735"
"Crops","China, mainland","Yield","Sorghum","1991","hg/ha","35619"
"Crops","China, mainland","Yield","Sorghum","1992","hg/ha","35961"
"Crops","China, mainland","Yield","Sorghum","1993","hg/ha","41058"
"Crops","China, mainland","Yield","Sorghum","1994","hg/ha","46267"
"Crops","China, mainland","Yield","Sorghum","1995","hg/ha","39144"
"Crops","China, mainland","Yield","Sorghum","1996","hg/ha","43924"
"Crops","China, mainland","Yield","Sorghum","1997","hg/ha","33564"
"Crops","China, mainland","Yield","Sorghum","1998","hg/ha","42145"
"Crops","China, mainland","Yield","Sorghum","1999","hg/ha","33105"
"Crops","China, mainland","Yield","Sorghum","2000","hg/ha","29026"
"Crops","China, mainland","Yield","Sorghum","2001","hg/ha","34440"
"Crops","China, mainland","Yield","Sorghum","2002","hg/ha","39471"
"Crops","China, mainland","Yield","Sorghum","2003","hg/ha","39640"
"Crops","China, mainland","Yield","Sorghum","2004","hg/ha","41022"
"Crops","China, mainland","Yield","Sorghum","2005","hg/ha","44667"
"Crops","China, mainland","Yield","Sorghum","2006","hg/ha","48462"
"Crops","China, mainland","Yield","Sorghum","2007","hg/ha","38480"
"Crops","China, mainland","Yield","Sorghum","2008","hg/ha","37505"
"Crops","China, mainland","Yield","Sorghum","2009","hg/ha","29973"
"Crops","China, mainland","Yield","Sorghum","2010","hg/ha","44842"
"Crops","China, mainland","Yield","Sorghum","2011","hg/ha","41001"
"Crops","China, mainland","Yield","Sorghum","2012","hg/ha","41009"
"Crops","China, mainland","Yield","Sorghum","2013","hg/ha","49653"
"Crops","China, mainland","Yield","Sorghum","2014","hg/ha","46592"
"Crops","China, mainland","Yield","Sorghum","2015","hg/ha","47944"
"Crops","China, mainland","Yield","Sorghum","2016","hg/ha","46480"
"Crops","China, mainland","Yield","Sorghum","2017","hg/ha","48669"
"Crops","China, mainland","Yield","Sorghum","2018","hg/ha","47021"
"Crops","China, mainland","Yield","Sorghum","2019","hg/ha","48000"
"Crops","China, mainland","Yield","Soybeans","1961","hg/ha","6243"
"Crops","China, mainland","Yield","Soybeans","1962","hg/ha","6857"
"Crops","China, mainland","Yield","Soybeans","1963","hg/ha","7180"
"Crops","China, mainland","Yield","Soybeans","1964","hg/ha","7871"
"Crops","China, mainland","Yield","Soybeans","1965","hg/ha","7153"
"Crops","China, mainland","Yield","Soybeans","1966","hg/ha","9825"
"Crops","China, mainland","Yield","Soybeans","1967","hg/ha","9736"
"Crops","China, mainland","Yield","Soybeans","1968","hg/ha","9624"
"Crops","China, mainland","Yield","Soybeans","1969","hg/ha","9171"
"Crops","China, mainland","Yield","Soybeans","1970","hg/ha","10919"
"Crops","China, mainland","Yield","Soybeans","1971","hg/ha","11061"
"Crops","China, mainland","Yield","Soybeans","1972","hg/ha","8514"
"Crops","China, mainland","Yield","Soybeans","1973","hg/ha","11311"
"Crops","China, mainland","Yield","Soybeans","1974","hg/ha","10298"
"Crops","China, mainland","Yield","Soybeans","1975","hg/ha","10355"
"Crops","China, mainland","Yield","Soybeans","1976","hg/ha","9934"
"Crops","China, mainland","Yield","Soybeans","1977","hg/ha","10617"
"Crops","China, mainland","Yield","Soybeans","1978","hg/ha","10596"
"Crops","China, mainland","Yield","Soybeans","1979","hg/ha","10305"
"Crops","China, mainland","Yield","Soybeans","1980","hg/ha","10999"
"Crops","China, mainland","Yield","Soybeans","1981","hg/ha","11634"
"Crops","China, mainland","Yield","Soybeans","1982","hg/ha","10737"
"Crops","China, mainland","Yield","Soybeans","1983","hg/ha","12911"
"Crops","China, mainland","Yield","Soybeans","1984","hg/ha","13306"
"Crops","China, mainland","Yield","Soybeans","1985","hg/ha","13605"
"Crops","China, mainland","Yield","Soybeans","1986","hg/ha","14000"
"Crops","China, mainland","Yield","Soybeans","1987","hg/ha","14428"
"Crops","China, mainland","Yield","Soybeans","1988","hg/ha","14341"
"Crops","China, mainland","Yield","Soybeans","1989","hg/ha","12694"
"Crops","China, mainland","Yield","Soybeans","1990","hg/ha","14551"
"Crops","China, mainland","Yield","Soybeans","1991","hg/ha","13795"
"Crops","China, mainland","Yield","Soybeans","1992","hg/ha","14270"
"Crops","China, mainland","Yield","Soybeans","1993","hg/ha","16191"
"Crops","China, mainland","Yield","Soybeans","1994","hg/ha","17349"
"Crops","China, mainland","Yield","Soybeans","1995","hg/ha","16614"
"Crops","China, mainland","Yield","Soybeans","1996","hg/ha","17702"
"Crops","China, mainland","Yield","Soybeans","1997","hg/ha","17651"
"Crops","China, mainland","Yield","Soybeans","1998","hg/ha","17825"
"Crops","China, mainland","Yield","Soybeans","1999","hg/ha","17892"
"Crops","China, mainland","Yield","Soybeans","2000","hg/ha","16557"
"Crops","China, mainland","Yield","Soybeans","2001","hg/ha","16248"
"Crops","China, mainland","Yield","Soybeans","2002","hg/ha","18929"
"Crops","China, mainland","Yield","Soybeans","2003","hg/ha","16529"
"Crops","China, mainland","Yield","Soybeans","2004","hg/ha","18148"
"Crops","China, mainland","Yield","Soybeans","2005","hg/ha","17045"
"Crops","China, mainland","Yield","Soybeans","2006","hg/ha","16209"
"Crops","China, mainland","Yield","Soybeans","2007","hg/ha","14536"
"Crops","China, mainland","Yield","Soybeans","2008","hg/ha","17028"
"Crops","China, mainland","Yield","Soybeans","2009","hg/ha","16302"
"Crops","China, mainland","Yield","Soybeans","2010","hg/ha","17712"
"Crops","China, mainland","Yield","Soybeans","2011","hg/ha","18362"
"Crops","China, mainland","Yield","Soybeans","2012","hg/ha","18144"
"Crops","China, mainland","Yield","Soybeans","2013","hg/ha","17600"
"Crops","China, mainland","Yield","Soybeans","2014","hg/ha","17874"
"Crops","China, mainland","Yield","Soybeans","2015","hg/ha","18114"
"Crops","China, mainland","Yield","Soybeans","2016","hg/ha","18031"
"Crops","China, mainland","Yield","Soybeans","2017","hg/ha","18536"
"Crops","China, mainland","Yield","Soybeans","2018","hg/ha","18980"
"Crops","China, mainland","Yield","Soybeans","2019","hg/ha","18668"
"Crops","China, mainland","Yield","Sweet potatoes","1961","hg/ha","69738"
"Crops","China, mainland","Yield","Sweet potatoes","1962","hg/ha","75061"
"Crops","China, mainland","Yield","Sweet potatoes","1963","hg/ha","81506"
"Crops","China, mainland","Yield","Sweet potatoes","1964","hg/ha","68948"
"Crops","China, mainland","Yield","Sweet potatoes","1965","hg/ha","92494"
"Crops","China, mainland","Yield","Sweet potatoes","1966","hg/ha","98339"
"Crops","China, mainland","Yield","Sweet potatoes","1967","hg/ha","108271"
"Crops","China, mainland","Yield","Sweet potatoes","1968","hg/ha","112872"
"Crops","China, mainland","Yield","Sweet potatoes","1969","hg/ha","118674"
"Crops","China, mainland","Yield","Sweet potatoes","1970","hg/ha","128517"
"Crops","China, mainland","Yield","Sweet potatoes","1971","hg/ha","124970"
"Crops","China, mainland","Yield","Sweet potatoes","1972","hg/ha","109745"
"Crops","China, mainland","Yield","Sweet potatoes","1973","hg/ha","140721"
"Crops","China, mainland","Yield","Sweet potatoes","1974","hg/ha","127180"
"Crops","China, mainland","Yield","Sweet potatoes","1975","hg/ha","133777"
"Crops","China, mainland","Yield","Sweet potatoes","1976","hg/ha","132496"
"Crops","China, mainland","Yield","Sweet potatoes","1977","hg/ha","132228"
"Crops","China, mainland","Yield","Sweet potatoes","1978","hg/ha","136352"
"Crops","China, mainland","Yield","Sweet potatoes","1979","hg/ha","135038"
"Crops","China, mainland","Yield","Sweet potatoes","1980","hg/ha","150185"
"Crops","China, mainland","Yield","Sweet potatoes","1981","hg/ha","145881"
"Crops","China, mainland","Yield","Sweet potatoes","1982","hg/ha","156500"
"Crops","China, mainland","Yield","Sweet potatoes","1983","hg/ha","170446"
"Crops","China, mainland","Yield","Sweet potatoes","1984","hg/ha","173791"
"Crops","China, mainland","Yield","Sweet potatoes","1985","hg/ha","169724"
"Crops","China, mainland","Yield","Sweet potatoes","1986","hg/ha","164406"
"Crops","China, mainland","Yield","Sweet potatoes","1987","hg/ha","182258"
"Crops","China, mainland","Yield","Sweet potatoes","1988","hg/ha","163662"
"Crops","China, mainland","Yield","Sweet potatoes","1989","hg/ha","168067"
"Crops","China, mainland","Yield","Sweet potatoes","1990","hg/ha","166375"
"Crops","China, mainland","Yield","Sweet potatoes","1991","hg/ha","170008"
"Crops","China, mainland","Yield","Sweet potatoes","1992","hg/ha","167087"
"Crops","China, mainland","Yield","Sweet potatoes","1993","hg/ha","181913"
"Crops","China, mainland","Yield","Sweet potatoes","1994","hg/ha","177267"
"Crops","China, mainland","Yield","Sweet potatoes","1995","hg/ha","192572"
"Crops","China, mainland","Yield","Sweet potatoes","1996","hg/ha","204218"
"Crops","China, mainland","Yield","Sweet potatoes","1997","hg/ha","171740"
"Crops","China, mainland","Yield","Sweet potatoes","1998","hg/ha","194390"
"Crops","China, mainland","Yield","Sweet potatoes","1999","hg/ha","212138"
"Crops","China, mainland","Yield","Sweet potatoes","2000","hg/ha","202895"
"Crops","China, mainland","Yield","Sweet potatoes","2001","hg/ha","206604"
"Crops","China, mainland","Yield","Sweet potatoes","2002","hg/ha","216927"
"Crops","China, mainland","Yield","Sweet potatoes","2003","hg/ha","207635"
"Crops","China, mainland","Yield","Sweet potatoes","2004","hg/ha","217403"
"Crops","China, mainland","Yield","Sweet potatoes","2005","hg/ha","221836"
"Crops","China, mainland","Yield","Sweet potatoes","2006","hg/ha","221237"
"Crops","China, mainland","Yield","Sweet potatoes","2007","hg/ha","207021"
"Crops","China, mainland","Yield","Sweet potatoes","2008","hg/ha","207871"
"Crops","China, mainland","Yield","Sweet potatoes","2009","hg/ha","215311"
"Crops","China, mainland","Yield","Sweet potatoes","2010","hg/ha","209250"
"Crops","China, mainland","Yield","Sweet potatoes","2011","hg/ha","216444"
"Crops","China, mainland","Yield","Sweet potatoes","2012","hg/ha","214305"
"Crops","China, mainland","Yield","Sweet potatoes","2013","hg/ha","210610"
"Crops","China, mainland","Yield","Sweet potatoes","2014","hg/ha","211774"
"Crops","China, mainland","Yield","Sweet potatoes","2015","hg/ha","215152"
"Crops","China, mainland","Yield","Sweet potatoes","2016","hg/ha","210713"
"Crops","China, mainland","Yield","Sweet potatoes","2017","hg/ha","222408"
"Crops","China, mainland","Yield","Sweet potatoes","2018","hg/ha","223711"
"Crops","China, mainland","Yield","Sweet potatoes","2019","hg/ha","218970"
"Crops","China, mainland","Yield","Wheat","1961","hg/ha","5578"
"Crops","China, mainland","Yield","Wheat","1962","hg/ha","6929"
"Crops","China, mainland","Yield","Wheat","1963","hg/ha","7780"
"Crops","China, mainland","Yield","Wheat","1964","hg/ha","8211"
"Crops","China, mainland","Yield","Wheat","1965","hg/ha","10217"
"Crops","China, mainland","Yield","Wheat","1966","hg/ha","10580"
"Crops","China, mainland","Yield","Wheat","1967","hg/ha","11270"
"Crops","China, mainland","Yield","Wheat","1968","hg/ha","11146"
"Crops","China, mainland","Yield","Wheat","1969","hg/ha","10855"
"Crops","China, mainland","Yield","Wheat","1970","hg/ha","11475"
"Crops","China, mainland","Yield","Wheat","1971","hg/ha","12718"
"Crops","China, mainland","Yield","Wheat","1972","hg/ha","13695"
"Crops","China, mainland","Yield","Wheat","1973","hg/ha","13337"
"Crops","China, mainland","Yield","Wheat","1974","hg/ha","15116"
"Crops","China, mainland","Yield","Wheat","1975","hg/ha","16397"
"Crops","China, mainland","Yield","Wheat","1976","hg/ha","17754"
"Crops","China, mainland","Yield","Wheat","1977","hg/ha","14650"
"Crops","China, mainland","Yield","Wheat","1978","hg/ha","18449"
"Crops","China, mainland","Yield","Wheat","1979","hg/ha","21395"
"Crops","China, mainland","Yield","Wheat","1980","hg/ha","18914"
"Crops","China, mainland","Yield","Wheat","1981","hg/ha","21091"
"Crops","China, mainland","Yield","Wheat","1982","hg/ha","24517"
"Crops","China, mainland","Yield","Wheat","1983","hg/ha","28017"
"Crops","China, mainland","Yield","Wheat","1984","hg/ha","29691"
"Crops","China, mainland","Yield","Wheat","1985","hg/ha","29367"
"Crops","China, mainland","Yield","Wheat","1986","hg/ha","30402"
"Crops","China, mainland","Yield","Wheat","1987","hg/ha","29829"
"Crops","China, mainland","Yield","Wheat","1988","hg/ha","29679"
"Crops","China, mainland","Yield","Wheat","1989","hg/ha","30430"
"Crops","China, mainland","Yield","Wheat","1990","hg/ha","31941"
"Crops","China, mainland","Yield","Wheat","1991","hg/ha","31004"
"Crops","China, mainland","Yield","Wheat","1992","hg/ha","33312"
"Crops","China, mainland","Yield","Wheat","1993","hg/ha","35188"
"Crops","China, mainland","Yield","Wheat","1994","hg/ha","34263"
"Crops","China, mainland","Yield","Wheat","1995","hg/ha","35415"
"Crops","China, mainland","Yield","Wheat","1996","hg/ha","37341"
"Crops","China, mainland","Yield","Wheat","1997","hg/ha","41019"
"Crops","China, mainland","Yield","Wheat","1998","hg/ha","36852"
"Crops","China, mainland","Yield","Wheat","1999","hg/ha","39466"
"Crops","China, mainland","Yield","Wheat","2000","hg/ha","37382"
"Crops","China, mainland","Yield","Wheat","2001","hg/ha","38061"
"Crops","China, mainland","Yield","Wheat","2002","hg/ha","37766"
"Crops","China, mainland","Yield","Wheat","2003","hg/ha","39318"
"Crops","China, mainland","Yield","Wheat","2004","hg/ha","42519"
"Crops","China, mainland","Yield","Wheat","2005","hg/ha","42753"
"Crops","China, mainland","Yield","Wheat","2006","hg/ha","45935"
"Crops","China, mainland","Yield","Wheat","2007","hg/ha","46076"
"Crops","China, mainland","Yield","Wheat","2008","hg/ha","47620"
"Crops","China, mainland","Yield","Wheat","2009","hg/ha","47390"
"Crops","China, mainland","Yield","Wheat","2010","hg/ha","47486"
"Crops","China, mainland","Yield","Wheat","2011","hg/ha","48376"
"Crops","China, mainland","Yield","Wheat","2012","hg/ha","49869"
"Crops","China, mainland","Yield","Wheat","2013","hg/ha","50556"
"Crops","China, mainland","Yield","Wheat","2014","hg/ha","52435"
